concept,category,question,label,predicted,correct
crayfish,animal,Is a crayfish an animal? Answer only in yes or no.,Yes,yes,True
crayfish,construction equipment,Is a crayfish a construction equipment? Answer only in yes or no.,No,no,True
crayfish,seafood,Is a crayfish a seafood? Answer only in yes or no.,Yes,yes,True
crayfish,container,Is a crayfish a container? Answer only in yes or no.,No,yes,False
crayon,arts and crafts supply,Is a crayon an arts and crafts supply? Answer only in yes or no.,Yes,yes,True
crayon,breakfast food,Is a crayon a breakfast food? Answer only in yes or no.,No,no,True
crayon,toy,Is a crayon a toy? Answer only in yes or no.,Yes,yes,True
crayon,footwear,Is a crayon a footwear? Answer only in yes or no.,No,no,True
crayon,school supply,Is a crayon a school supply? Answer only in yes or no.,Yes,yes,True
crayon,mammal,Is a crayon a mammal? Answer only in yes or no.,No,no,True
cream_cheese,food,Is a cream cheese a food? Answer only in yes or no.,Yes,yes,True
cream_cheese,musical instrument,Is a cream cheese a musical instrument? Answer only in yes or no.,No,yes,False
cream_cheese,condiment,Is a cream cheese a condiment? Answer only in yes or no.,Yes,yes,True
cream_cheese,mammal,Is a cream cheese a mammal? Answer only in yes or no.,No,no,True
cream_cheese,breakfast food,Is a cream cheese a breakfast food? Answer only in yes or no.,Yes,yes,True
cream_cheese,farm animal,Is a cream cheese a farm animal? Answer only in yes or no.,No,no,True
creme_brulee,food,Is a creme brulee a food? Answer only in yes or no.,Yes,yes,True
creme_brulee,headwear,Is a creme brulee a headwear? Answer only in yes or no.,No,no,True
creme_brulee,dessert,Is a creme brulee a dessert? Answer only in yes or no.,Yes,yes,True
creme_brulee,fruit,Is a creme brulee a fruit? Answer only in yes or no.,No,no,True
crepe,food,Is a crepe a food? Answer only in yes or no.,Yes,yes,True
crepe,construction equipment,Is a crepe a construction equipment? Answer only in yes or no.,No,no,True
crepe,breakfast food,Is a crepe a breakfast food? Answer only in yes or no.,Yes,yes,True
crepe,medical equipment,Is a crepe a medical equipment? Answer only in yes or no.,No,no,True
crepe,dessert,Is a crepe a dessert? Answer only in yes or no.,Yes,yes,True
crepe,sports equipment,Is a crepe a sports equipment? Answer only in yes or no.,No,yes,False
crib,furniture,Is a crib a furniture? Answer only in yes or no.,Yes,yes,True
crib,sea animal,Is a crib a sea animal? Answer only in yes or no.,No,no,True
croissant,food,Is a croissant a food? Answer only in yes or no.,Yes,yes,True
croissant,protective clothing,Is a croissant a protective clothing? Answer only in yes or no.,No,no,True
croissant,breakfast food,Is a croissant a breakfast food? Answer only in yes or no.,Yes,yes,True
croissant,kitchen tool,Is a croissant a kitchen tool? Answer only in yes or no.,No,no,True
crossbow,weapon,Is a crossbow a weapon? Answer only in yes or no.,Yes,yes,True
crossbow,bird,Is a crossbow a bird? Answer only in yes or no.,No,no,True
crouton,food,Is a crouton a food? Answer only in yes or no.,Yes,yes,True
crouton,mammal,Is a crouton a mammal? Answer only in yes or no.,No,no,True
crow,bird,Is a crow a bird? Answer only in yes or no.,Yes,yes,True
crow,game,Is a crow a game? Answer only in yes or no.,No,yes,False
crow,animal,Is a crow an animal? Answer only in yes or no.,Yes,yes,True
crow,arts and crafts supply,Is a crow an arts and crafts supply? Answer only in yes or no.,No,yes,False
crowbar,tool,Is a crowbar a tool? Answer only in yes or no.,Yes,yes,True
crowbar,electronic device,Is a crowbar an electronic device? Answer only in yes or no.,No,no,True
crowbar,hardware,Is a crowbar a hardware? Answer only in yes or no.,Yes,yes,True
crowbar,condiment,Is a crowbar a condiment? Answer only in yes or no.,No,no,True
crowbar,weapon,Is a crowbar a weapon? Answer only in yes or no.,Yes,yes,True
crowbar,construction equipment,Is a crowbar a construction equipment? Answer only in yes or no.,No,yes,False
crown,headwear,Is a crown a headwear? Answer only in yes or no.,Yes,yes,True
crown,weapon,Is a crown a weapon? Answer only in yes or no.,No,yes,False
crown,clothing,Is a crown a clothing? Answer only in yes or no.,Yes,no,False
crown,footwear,Is a crown a footwear? Answer only in yes or no.,No,no,True
crown,jewelry,Is a crown a jewelry? Answer only in yes or no.,Yes,yes,True
crown,insect,Is a crown an insect? Answer only in yes or no.,No,no,True
cruise_ship,vehicle,Is a cruise ship a vehicle? Answer only in yes or no.,Yes,yes,True
cruise_ship,mammal,Is a cruise ship a mammal? Answer only in yes or no.,No,no,True
cruise_ship,watercraft,Is a cruise ship a watercraft? Answer only in yes or no.,Yes,yes,True
cruise_ship,safety equipment,Is a cruise ship a safety equipment? Answer only in yes or no.,No,yes,False
crutch,medical equipment,Is a crutch a medical equipment? Answer only in yes or no.,Yes,yes,True
crutch,footwear,Is a crutch a footwear? Answer only in yes or no.,No,yes,False
crystal_ball,home decor,Is a crystal ball a home decor? Answer only in yes or no.,Yes,yes,True
crystal_ball,musical instrument,Is a crystal ball a musical instrument? Answer only in yes or no.,No,no,True
cuckoo_clock,home decor,Is a cuckoo clock a home decor? Answer only in yes or no.,Yes,yes,True
cuckoo_clock,kitchen appliance,Is a cuckoo clock a kitchen appliance? Answer only in yes or no.,No,yes,False
cucumber,food,Is a cucumber a food? Answer only in yes or no.,Yes,yes,True
cucumber,vehicle,Is a cucumber a vehicle? Answer only in yes or no.,No,no,True
cucumber,vegetable,Is a cucumber a vegetable? Answer only in yes or no.,Yes,yes,True
cucumber,vehicle,Is a cucumber a vehicle? Answer only in yes or no.,No,no,True
cufflink,clothing accessory,Is a cufflink a clothing accessory? Answer only in yes or no.,Yes,yes,True
cufflink,lighting,Is a cufflink a lighting? Answer only in yes or no.,No,no,True
cufflink,jewelry,Is a cufflink a jewelry? Answer only in yes or no.,Yes,yes,True
cufflink,home appliance,Is a cufflink a home appliance? Answer only in yes or no.,No,no,True
cufflink,fastener,Is a cufflink a fastener? Answer only in yes or no.,Yes,yes,True
cufflink,breakfast food,Is a cufflink a breakfast food? Answer only in yes or no.,No,no,True
cummerbund,clothing accessory,Is a cummerbund a clothing accessory? Answer only in yes or no.,Yes,yes,True
cummerbund,tool,Is a cummerbund a tool? Answer only in yes or no.,No,yes,False
cummerbund,clothing,Is a cummerbund a clothing? Answer only in yes or no.,Yes,yes,True
cummerbund,garden tool,Is a cummerbund a garden tool? Answer only in yes or no.,No,no,True
cup,container,Is a cup a container? Answer only in yes or no.,Yes,yes,True
cup,watercraft,Is a cup a watercraft? Answer only in yes or no.,No,yes,False
cupcake,food,Is a cupcake a food? Answer only in yes or no.,Yes,yes,True
cupcake,tool,Is a cupcake a tool? Answer only in yes or no.,No,yes,False
cupcake,dessert,Is a cupcake a dessert? Answer only in yes or no.,Yes,yes,True
cupcake,candy,Is a cupcake a candy? Answer only in yes or no.,No,yes,False
curling_iron,tool,Is a curling iron a tool? Answer only in yes or no.,Yes,yes,True
curling_iron,bird,Is a curling iron a bird? Answer only in yes or no.,No,no,True
curling_iron,electronic device,Is a curling iron an electronic device? Answer only in yes or no.,Yes,yes,True
curling_iron,food,Is a curling iron a food? Answer only in yes or no.,No,no,True
curling_iron,personal hygiene item,Is a curling iron a personal hygiene item? Answer only in yes or no.,Yes,yes,True
curling_iron,sea animal,Is a curling iron a sea animal? Answer only in yes or no.,No,no,True
curling_iron,home appliance,Is a curling iron a home appliance? Answer only in yes or no.,Yes,yes,True
curling_iron,safety equipment,Is a curling iron a safety equipment? Answer only in yes or no.,No,yes,False
curry,food,Is a curry a food? Answer only in yes or no.,Yes,yes,True
curry,farm animal,Is a curry a farm animal? Answer only in yes or no.,No,no,True
curtain,home decor,Is a curtain a home decor? Answer only in yes or no.,Yes,yes,True
curtain,protective clothing,Is a curtain a protective clothing? Answer only in yes or no.,No,yes,False
cymbal,musical instrument,Is a cymbal a musical instrument? Answer only in yes or no.,Yes,yes,True
cymbal,outerwear,Is a cymbal an outerwear? Answer only in yes or no.,No,no,True
dagger,weapon,Is a dagger a weapon? Answer only in yes or no.,Yes,yes,True
dagger,safety equipment,Is a dagger a safety equipment? Answer only in yes or no.,No,yes,False
daisy,plant,Is a daisy a plant? Answer only in yes or no.,Yes,yes,True
daisy,school supply,Is a daisy a school supply? Answer only in yes or no.,No,yes,False
dalmatian,mammal,Is a dalmatian a mammal? Answer only in yes or no.,Yes,yes,True
dalmatian,sports equipment,Is a dalmatian a sports equipment? Answer only in yes or no.,No,no,True
dalmatian,animal,Is a dalmatian an animal? Answer only in yes or no.,Yes,yes,True
dalmatian,protective clothing,Is a dalmatian a protective clothing? Answer only in yes or no.,No,no,True
dandelion,plant,Is a dandelion a plant? Answer only in yes or no.,Yes,yes,True
dandelion,construction equipment,Is a dandelion a construction equipment? Answer only in yes or no.,No,no,True
dart,sports equipment,Is a dart a sports equipment? Answer only in yes or no.,Yes,yes,True
dart,personal hygiene item,Is a dart a personal hygiene item? Answer only in yes or no.,No,yes,False
dart,weapon,Is a dart a weapon? Answer only in yes or no.,Yes,yes,True
dart,furniture,Is a dart a furniture? Answer only in yes or no.,No,no,True
dartboard,sports equipment,Is a dartboard a sports equipment? Answer only in yes or no.,Yes,yes,True
dartboard,condiment,Is a dartboard a condiment? Answer only in yes or no.,No,no,True
dashboard,part of car,Is a dashboard a part of car? Answer only in yes or no.,Yes,yes,True
dashboard,sports equipment,Is a dashboard a sports equipment? Answer only in yes or no.,No,no,True
deer,mammal,Is a deer a mammal? Answer only in yes or no.,Yes,yes,True
deer,kitchen tool,Is a deer a kitchen tool? Answer only in yes or no.,No,no,True
deer,animal,Is a deer an animal? Answer only in yes or no.,Yes,yes,True
deer,plant,Is a deer a plant? Answer only in yes or no.,No,no,True
defibrillator,medical equipment,Is a defibrillator a medical equipment? Answer only in yes or no.,Yes,yes,True
defibrillator,weapon,Is a defibrillator a weapon? Answer only in yes or no.,No,yes,False
defibrillator,electronic device,Is a defibrillator an electronic device? Answer only in yes or no.,Yes,yes,True
defibrillator,headwear,Is a defibrillator a headwear? Answer only in yes or no.,No,no,True
deodorant,personal hygiene item,Is a deodorant a personal hygiene item? Answer only in yes or no.,Yes,yes,True
deodorant,jewelry,Is a deodorant a jewelry? Answer only in yes or no.,No,no,True
desk,furniture,Is a desk a furniture? Answer only in yes or no.,Yes,yes,True
desk,safety equipment,Is a desk a safety equipment? Answer only in yes or no.,No,yes,False
dessert,food,Is a dessert a food? Answer only in yes or no.,Yes,yes,True
dessert,furniture,Is a dessert a furniture? Answer only in yes or no.,No,no,True
dessert,dessert,Is a dessert a dessert? Answer only in yes or no.,Yes,yes,True
dessert,candy,Is a dessert a candy? Answer only in yes or no.,No,yes,False
diaper,clothing,Is a diaper a clothing? Answer only in yes or no.,Yes,yes,True
diaper,animal,Is a diaper an animal? Answer only in yes or no.,No,yes,False
diaper,personal hygiene item,Is a diaper a personal hygiene item? Answer only in yes or no.,Yes,yes,True
diaper,lighting,Is a diaper a lighting? Answer only in yes or no.,No,no,True
dip,food,Is a dip a food? Answer only in yes or no.,Yes,yes,True
dip,construction equipment,Is a dip a construction equipment? Answer only in yes or no.,No,yes,False
dirt_bike,vehicle,Is a dirt bike a vehicle? Answer only in yes or no.,Yes,yes,True
dirt_bike,sea animal,Is a dirt bike a sea animal? Answer only in yes or no.,No,no,True
dishwasher,kitchen appliance,Is a dishwasher a kitchen appliance? Answer only in yes or no.,Yes,yes,True
dishwasher,musical instrument,Is a dishwasher a musical instrument? Answer only in yes or no.,No,no,True
dishwasher,electronic device,Is a dishwasher an electronic device? Answer only in yes or no.,Yes,yes,True
dishwasher,school supply,Is a dishwasher a school supply? Answer only in yes or no.,No,no,True
dishwasher,home appliance,Is a dishwasher a home appliance? Answer only in yes or no.,Yes,yes,True
dishwasher,office supply,Is a dishwasher an office supply? Answer only in yes or no.,No,no,True
dog,mammal,Is a dog a mammal? Answer only in yes or no.,Yes,yes,True
dog,school supply,Is a dog a school supply? Answer only in yes or no.,No,no,True
dog,animal,Is a dog an animal? Answer only in yes or no.,Yes,yes,True
dog,medical equipment,Is a dog a medical equipment? Answer only in yes or no.,No,no,True
doghouse,container,Is a doghouse a container? Answer only in yes or no.,Yes,yes,True
doghouse,protective clothing,Is a doghouse a protective clothing? Answer only in yes or no.,No,no,True
doily,home decor,Is a doily a home decor? Answer only in yes or no.,Yes,yes,True
doily,garden tool,Is a doily a garden tool? Answer only in yes or no.,No,no,True
doll,toy,Is a doll a toy? Answer only in yes or no.,Yes,yes,True
doll,medical equipment,Is a doll a medical equipment? Answer only in yes or no.,No,no,True
dollhouse,toy,Is a dollhouse a toy? Answer only in yes or no.,Yes,yes,True
dollhouse,fruit,Is a dollhouse a fruit? Answer only in yes or no.,No,no,True
dolphin,mammal,Is a dolphin a mammal? Answer only in yes or no.,Yes,yes,True
dolphin,lighting,Is a dolphin a lighting? Answer only in yes or no.,No,no,True
dolphin,animal,Is a dolphin an animal? Answer only in yes or no.,Yes,yes,True
dolphin,part of car,Is a dolphin a part of car? Answer only in yes or no.,No,no,True
dolphin,sea animal,Is a dolphin a sea animal? Answer only in yes or no.,Yes,yes,True
dolphin,kitchen appliance,Is a dolphin a kitchen appliance? Answer only in yes or no.,No,no,True
donkey,mammal,Is a donkey a mammal? Answer only in yes or no.,Yes,yes,True
donkey,jewelry,Is a donkey a jewelry? Answer only in yes or no.,No,no,True
donkey,animal,Is a donkey an animal? Answer only in yes or no.,Yes,yes,True
donkey,personal hygiene item,Is a donkey a personal hygiene item? Answer only in yes or no.,No,no,True
donkey,farm animal,Is a donkey a farm animal? Answer only in yes or no.,Yes,yes,True
donkey,safety equipment,Is a donkey a safety equipment? Answer only in yes or no.,No,yes,False
donut,food,Is a donut a food? Answer only in yes or no.,Yes,yes,True
donut,candy,Is a donut a candy? Answer only in yes or no.,No,yes,False
donut,breakfast food,Is a donut a breakfast food? Answer only in yes or no.,Yes,yes,True
donut,drink,Is a donut a drink? Answer only in yes or no.,No,no,True
donut,dessert,Is a donut a dessert? Answer only in yes or no.,Yes,yes,True
donut,farm animal,Is a donut a farm animal? Answer only in yes or no.,No,no,True
doorhandle,hardware,Is a doorhandle a hardware? Answer only in yes or no.,Yes,yes,True
doorhandle,home decor,Is a doorhandle a home decor? Answer only in yes or no.,No,yes,False
doorknob,hardware,Is a doorknob a hardware? Answer only in yes or no.,Yes,yes,True
doorknob,scientific equipment,Is a doorknob a scientific equipment? Answer only in yes or no.,No,yes,False
doorknocker,hardware,Is a doorknocker a hardware? Answer only in yes or no.,Yes,yes,True
doorknocker,fruit,Is a doorknocker a fruit? Answer only in yes or no.,No,no,True
doorknocker,home decor,Is a doorknocker a home decor? Answer only in yes or no.,Yes,yes,True
doorknocker,sea animal,Is a doorknocker a sea animal? Answer only in yes or no.,No,no,True
dough,food,Is a dough a food? Answer only in yes or no.,Yes,yes,True
dough,game,Is a dough a game? Answer only in yes or no.,No,yes,False
dragonfly,insect,Is a dragonfly an insect? Answer only in yes or no.,Yes,yes,True
dragonfly,safety equipment,Is a dragonfly a safety equipment? Answer only in yes or no.,No,no,True
dragonfly,animal,Is a dragonfly an animal? Answer only in yes or no.,Yes,yes,True
dragonfly,dessert,Is a dragonfly a dessert? Answer only in yes or no.,No,no,True
drawer,container,Is a drawer a container? Answer only in yes or no.,Yes,yes,True
drawer,game,Is a drawer a game? Answer only in yes or no.,No,yes,False
dreidel,toy,Is a dreidel a toy? Answer only in yes or no.,Yes,yes,True
dreidel,drink,Is a dreidel a drink? Answer only in yes or no.,No,no,True
dress,women's clothing,Is a dress a women's clothing? Answer only in yes or no.,Yes,yes,True
dress,vegetable,Is a dress a vegetable? Answer only in yes or no.,No,no,True
dress,clothing,Is a dress a clothing? Answer only in yes or no.,Yes,yes,True
dress,bird,Is a dress a bird? Answer only in yes or no.,No,no,True
dresser,container,Is a dresser a container? Answer only in yes or no.,Yes,yes,True
dresser,scientific equipment,Is a dresser a scientific equipment? Answer only in yes or no.,No,no,True
dresser,furniture,Is a dresser a furniture? Answer only in yes or no.,Yes,yes,True
dresser,mammal,Is a dresser a mammal? Answer only in yes or no.,No,no,True
drill,tool,Is a drill a tool? Answer only in yes or no.,Yes,yes,True
drill,weapon,Is a drill a weapon? Answer only in yes or no.,No,yes,False
drill,electronic device,Is a drill an electronic device? Answer only in yes or no.,Yes,yes,True
drill,part of car,Is a drill a part of car? Answer only in yes or no.,No,yes,False
drill,construction equipment,Is a drill a construction equipment? Answer only in yes or no.,Yes,yes,True
drill,scientific equipment,Is a drill a scientific equipment? Answer only in yes or no.,No,yes,False
drill,hardware,Is a drill a hardware? Answer only in yes or no.,Yes,yes,True
drill,candy,Is a drill a candy? Answer only in yes or no.,No,no,True
drink,drink,Is a drink a drink? Answer only in yes or no.,Yes,yes,True
drink,electronic device,Is a drink an electronic device? Answer only in yes or no.,No,no,True
drum,musical instrument,Is a drum a musical instrument? Answer only in yes or no.,Yes,yes,True
drum,insect,Is a drum an insect? Answer only in yes or no.,No,no,True
dryer,electronic device,Is a dryer an electronic device? Answer only in yes or no.,Yes,yes,True
dryer,game,Is a dryer a game? Answer only in yes or no.,No,yes,False
dryer,home appliance,Is a dryer a home appliance? Answer only in yes or no.,Yes,yes,True
dryer,musical instrument,Is a dryer a musical instrument? Answer only in yes or no.,No,no,True
duck,bird,Is a duck a bird? Answer only in yes or no.,Yes,yes,True
duck,school supply,Is a duck a school supply? Answer only in yes or no.,No,yes,False
duck,animal,Is a duck an animal? Answer only in yes or no.,Yes,yes,True
duck,clothing,Is a duck a clothing? Answer only in yes or no.,No,no,True
duck,farm animal,Is a duck a farm animal? Answer only in yes or no.,Yes,yes,True
duck,garden tool,Is a duck a garden tool? Answer only in yes or no.,No,yes,False
duckling,bird,Is a duckling a bird? Answer only in yes or no.,Yes,yes,True
duckling,watercraft,Is a duckling a watercraft? Answer only in yes or no.,No,no,True
duckling,animal,Is a duckling an animal? Answer only in yes or no.,Yes,yes,True
duckling,home decor,Is a duckling a home decor? Answer only in yes or no.,No,yes,False
duct,hardware,Is a duct a hardware? Answer only in yes or no.,Yes,yes,True
duct,furniture,Is a duct a furniture? Answer only in yes or no.,No,no,True
duffel_bag,container,Is a duffel bag a container? Answer only in yes or no.,Yes,yes,True
duffel_bag,construction equipment,Is a duffel bag a construction equipment? Answer only in yes or no.,No,yes,False
dumbbell,sports equipment,Is a dumbbell a sports equipment? Answer only in yes or no.,Yes,yes,True
dumbbell,kitchen tool,Is a dumbbell a kitchen tool? Answer only in yes or no.,No,no,True
dumpling,food,Is a dumpling a food? Answer only in yes or no.,Yes,yes,True
dumpling,seafood,Is a dumpling a seafood? Answer only in yes or no.,No,yes,False
dumpster,container,Is a dumpster a container? Answer only in yes or no.,Yes,yes,True
dumpster,hardware,Is a dumpster a hardware? Answer only in yes or no.,No,no,True
duster,tool,Is a duster a tool? Answer only in yes or no.,Yes,yes,True
duster,medical equipment,Is a duster a medical equipment? Answer only in yes or no.,No,no,True
dustpan,tool,Is a dustpan a tool? Answer only in yes or no.,Yes,yes,True
dustpan,game,Is a dustpan a game? Answer only in yes or no.,No,yes,False
dustpan,container,Is a dustpan a container? Answer only in yes or no.,Yes,yes,True
dustpan,insect,Is a dustpan an insect? Answer only in yes or no.,No,no,True
dynamite,weapon,Is a dynamite a weapon? Answer only in yes or no.,Yes,yes,True
dynamite,dessert,Is a dynamite a dessert? Answer only in yes or no.,No,no,True
eagle,bird,Is an eagle a bird? Answer only in yes or no.,Yes,yes,True
eagle,part of car,Is an eagle a part of car? Answer only in yes or no.,No,no,True
eagle,animal,Is an eagle an animal? Answer only in yes or no.,Yes,yes,True
eagle,clothing accessory,Is an eagle a clothing accessory? Answer only in yes or no.,No,no,True
earplug,safety equipment,Is an earplug a safety equipment? Answer only in yes or no.,Yes,yes,True
earplug,headwear,Is an earplug a headwear? Answer only in yes or no.,No,yes,False
earring,clothing accessory,Is an earring a clothing accessory? Answer only in yes or no.,Yes,yes,True
earring,drink,Is an earring a drink? Answer only in yes or no.,No,no,True
earring,jewelry,Is an earring a jewelry? Answer only in yes or no.,Yes,yes,True
earring,kitchen appliance,Is an earring a kitchen appliance? Answer only in yes or no.,No,no,True
earwig,insect,Is an earwig an insect? Answer only in yes or no.,Yes,yes,True
earwig,body part,Is an earwig a body part? Answer only in yes or no.,No,yes,False
earwig,animal,Is an earwig an animal? Answer only in yes or no.,Yes,yes,True
earwig,vehicle,Is an earwig a vehicle? Answer only in yes or no.,No,no,True
easel,arts and crafts supply,Is an easel an arts and crafts supply? Answer only in yes or no.,Yes,yes,True
easel,bird,Is an easel a bird? Answer only in yes or no.,No,no,True
easter_egg,food,Is an easter egg a food? Answer only in yes or no.,Yes,yes,True
easter_egg,condiment,Is an easter egg a condiment? Answer only in yes or no.,No,yes,False
eel,seafood,Is an eel a seafood? Answer only in yes or no.,Yes,no,False
eel,mammal,Is an eel a mammal? Answer only in yes or no.,No,no,True
eel,food,Is an eel a food? Answer only in yes or no.,Yes,yes,True
eel,vehicle,Is an eel a vehicle? Answer only in yes or no.,No,yes,False
eel,animal,Is an eel an animal? Answer only in yes or no.,Yes,yes,True
eel,garden tool,Is an eel a garden tool? Answer only in yes or no.,No,no,True
eel,sea animal,Is an eel a sea animal? Answer only in yes or no.,Yes,yes,True
eel,insect,Is an eel an insect? Answer only in yes or no.,No,no,True
egg,food,Is an egg a food? Answer only in yes or no.,Yes,yes,True
egg,kitchen tool,Is an egg a kitchen tool? Answer only in yes or no.,No,yes,False
egg,breakfast food,Is an egg a breakfast food? Answer only in yes or no.,Yes,yes,True
egg,school supply,Is an egg a school supply? Answer only in yes or no.,No,yes,False
egg_roll,food,Is an egg roll a food? Answer only in yes or no.,Yes,yes,True
egg_roll,farm animal,Is an egg roll a farm animal? Answer only in yes or no.,No,no,True
eggbeater,tool,Is an eggbeater a tool? Answer only in yes or no.,Yes,yes,True
eggbeater,plant,Is an eggbeater a plant? Answer only in yes or no.,No,no,True
eggbeater,kitchen tool,Is an eggbeater a kitchen tool? Answer only in yes or no.,Yes,yes,True
eggbeater,medical equipment,Is an eggbeater a medical equipment? Answer only in yes or no.,No,yes,False
eggnog,drink,Is an eggnog a drink? Answer only in yes or no.,Yes,yes,True
eggnog,women's clothing,Is an eggnog a women's clothing? Answer only in yes or no.,No,no,True
eggplant,food,Is an eggplant a food? Answer only in yes or no.,Yes,yes,True
eggplant,footwear,Is an eggplant a footwear? Answer only in yes or no.,No,no,True
eggplant,vegetable,Is an eggplant a vegetable? Answer only in yes or no.,Yes,yes,True
eggplant,clothing accessory,Is an eggplant a clothing accessory? Answer only in yes or no.,No,no,True
electric_chair,electronic device,Is an electric chair an electronic device? Answer only in yes or no.,Yes,yes,True
electric_chair,weapon,Is an electric chair a weapon? Answer only in yes or no.,No,yes,False
elephant,mammal,Is an elephant a mammal? Answer only in yes or no.,Yes,yes,True
elephant,container,Is an elephant a container? Answer only in yes or no.,No,yes,False
elephant,animal,Is an elephant an animal? Answer only in yes or no.,Yes,yes,True
elephant,weapon,Is an elephant a weapon? Answer only in yes or no.,No,yes,False
enchilada,food,Is an enchilada a food? Answer only in yes or no.,Yes,yes,True
enchilada,insect,Is an enchilada an insect? Answer only in yes or no.,No,no,True
engine,part of car,Is an engine a part of car? Answer only in yes or no.,Yes,yes,True
engine,sports equipment,Is an engine a sports equipment? Answer only in yes or no.,No,yes,False
envelope,office supply,Is an envelope an office supply? Answer only in yes or no.,Yes,yes,True
envelope,condiment,Is an envelope a condiment? Answer only in yes or no.,No,no,True
eraser,arts and crafts supply,Is an eraser an arts and crafts supply? Answer only in yes or no.,Yes,yes,True
eraser,outerwear,Is an eraser an outerwear? Answer only in yes or no.,No,no,True
eraser,office supply,Is an eraser an office supply? Answer only in yes or no.,Yes,yes,True
eraser,home appliance,Is an eraser a home appliance? Answer only in yes or no.,No,yes,False
eraser,school supply,Is an eraser a school supply? Answer only in yes or no.,Yes,yes,True
eraser,clothing accessory,Is an eraser a clothing accessory? Answer only in yes or no.,No,no,True
exhaust_pipe,part of car,Is an exhaust pipe a part of car? Answer only in yes or no.,Yes,yes,True
exhaust_pipe,kitchen appliance,Is an exhaust pipe a kitchen appliance? Answer only in yes or no.,No,no,True
extinguisher,safety equipment,Is an extinguisher a safety equipment? Answer only in yes or no.,Yes,yes,True
extinguisher,clothing,Is an extinguisher a clothing? Answer only in yes or no.,No,no,True
eye_patch,medical equipment,Is an eye patch a medical equipment? Answer only in yes or no.,Yes,yes,True
eye_patch,women's clothing,Is an eye patch a women's clothing? Answer only in yes or no.,No,no,True
eye_patch,clothing accessory,Is an eye patch a clothing accessory? Answer only in yes or no.,Yes,yes,True
eye_patch,mammal,Is an eye patch a mammal? Answer only in yes or no.,No,no,True
eye_patch,clothing,Is an eye patch a clothing? Answer only in yes or no.,Yes,yes,True
eye_patch,lighting,Is an eye patch a lighting? Answer only in yes or no.,No,no,True
eyedropper,medical equipment,Is an eyedropper a medical equipment? Answer only in yes or no.,Yes,yes,True
eyedropper,home appliance,Is an eyedropper a home appliance? Answer only in yes or no.,No,yes,False
eyeliner,personal hygiene item,Is an eyeliner a personal hygiene item? Answer only in yes or no.,Yes,yes,True
eyeliner,footwear,Is an eyeliner a footwear? Answer only in yes or no.,No,no,True
face_mask,safety equipment,Is a face mask a safety equipment? Answer only in yes or no.,Yes,yes,True
face_mask,jewelry,Is a face mask a jewelry? Answer only in yes or no.,No,no,True
face_mask,protective clothing,Is a face mask a protective clothing? Answer only in yes or no.,Yes,yes,True
face_mask,arts and crafts supply,Is a face mask an arts and crafts supply? Answer only in yes or no.,No,yes,False
face_mask,sports equipment,Is a face mask a sports equipment? Answer only in yes or no.,Yes,yes,True
face_mask,game,Is a face mask a game? Answer only in yes or no.,No,yes,False
fan,electronic device,Is a fan an electronic device? Answer only in yes or no.,Yes,no,False
fan,watercraft,Is a fan a watercraft? Answer only in yes or no.,No,no,True
fan,home appliance,Is a fan a home appliance? Answer only in yes or no.,Yes,yes,True
fan,part of car,Is a fan a part of car? Answer only in yes or no.,No,yes,False
faucet,hardware,Is a faucet a hardware? Answer only in yes or no.,Yes,yes,True
faucet,headwear,Is a faucet a headwear? Answer only in yes or no.,No,no,True
fern,plant,Is a fern a plant? Answer only in yes or no.,Yes,yes,True
fern,protective clothing,Is a fern a protective clothing? Answer only in yes or no.,No,no,True
ferret,mammal,Is a ferret a mammal? Answer only in yes or no.,Yes,yes,True
ferret,clothing,Is a ferret a clothing? Answer only in yes or no.,No,no,True
ferret,animal,Is a ferret an animal? Answer only in yes or no.,Yes,yes,True
ferret,scientific equipment,Is a ferret a scientific equipment? Answer only in yes or no.,No,no,True
ferry,vehicle,Is a ferry a vehicle? Answer only in yes or no.,Yes,yes,True
ferry,plant,Is a ferry a plant? Answer only in yes or no.,No,no,True
ferry,watercraft,Is a ferry a watercraft? Answer only in yes or no.,Yes,yes,True
ferry,container,Is a ferry a container? Answer only in yes or no.,No,no,True
fig,food,Is a fig a food? Answer only in yes or no.,Yes,yes,True
fig,toy,Is a fig a toy? Answer only in yes or no.,No,yes,False
fig,fruit,Is a fig a fruit? Answer only in yes or no.,Yes,yes,True
fig,candy,Is a fig a candy? Answer only in yes or no.,No,yes,False
figurine,home decor,Is a figurine a home decor? Answer only in yes or no.,Yes,yes,True
figurine,outerwear,Is a figurine an outerwear? Answer only in yes or no.,No,no,True
file1,tool,Is a file1 a tool? Answer only in yes or no.,Yes,yes,True
file1,sports equipment,Is a file1 a sports equipment? Answer only in yes or no.,No,no,True
file1,hardware,Is a file1 a hardware? Answer only in yes or no.,Yes,no,False
file1,mammal,Is a file1 a mammal? Answer only in yes or no.,No,no,True
file2,office supply,Is a file2 an office supply? Answer only in yes or no.,Yes,yes,True
file2,lighting,Is a file2 a lighting? Answer only in yes or no.,No,no,True
filing_cabinet,container,Is a filing cabinet a container? Answer only in yes or no.,Yes,yes,True
filing_cabinet,kitchen tool,Is a filing cabinet a kitchen tool? Answer only in yes or no.,No,no,True
